ProductId,Gender,Category,SubCategory,ProductType,Colour,Usage,ProductTitle,Image,ImageURL,retail_price,user_rating,product_interactions,no_purchase
42419,Girls,Apparel,Topwear,Tops,White,Casual,Gini and Jony Girls Knit White Top,42419.jpg,Asset/Apparel/Girls/42419.jpg,5160,1,1003,1832
34009,Girls,Apparel,Topwear,Tops,Black,Casual,Gini and Jony Girls Black Top,34009.jpg,Asset/Apparel/Girls/34009.jpg,5441,7,7193,1198
40143,Girls,Apparel,Topwear,Tops,Blue,Casual,Gini and Jony Girls Pretty Blossom Blue Top,40143.jpg,Asset/Apparel/Girls/40143.jpg,2931,6,8206,2551
23623,Girls,Apparel,Topwear,Tops,Pink,Casual,Doodle Kids Girls Pink I love Shopping Top,23623.jpg,Asset/Apparel/Girls/23623.jpg,9149,7,9404,2006
47154,Girls,Apparel,Bottomwear,Capris,Black,Casual,Gini and Jony Girls Black Capris,47154.jpg,Asset/Apparel/Girls/47154.jpg,5651,9,3351,2054
25520,Girls,Apparel,Topwear,Tops,White,Casual,Doodle Kids Girls City Chic White Top,25520.jpg,Asset/Apparel/Girls/25520.jpg,8758,7,3100,2043
31120,Girls,Apparel,Topwear,Tops,Pink,Casual,Palm Tree Girls Pink Top,31120.jpg,Asset/Apparel/Girls/31120.jpg,7692,1,2894,671
31118,Girls,Apparel,Topwear,Tops,Red,Casual,Gini and Jony Girls Red Top,31118.jpg,Asset/Apparel/Girls/31118.jpg,9131,1,7112,1964
54923,Girls,Apparel,Bottomwear,Capris,Olive,Casual,Do u speak Green Girls Olive 3/4 Pant,54923.jpg,Asset/Apparel/Girls/54923.jpg,3637,4,9182,660
31127,Girls,Apparel,Dress,Dresses,Black,Casual,Gini and Jony Girls Black Dress,31127.jpg,Asset/Apparel/Girls/31127.jpg,3487,7,5649,1026
47153,Girls,Apparel,Bottomwear,Capris,Pink,Casual,Gini and Jony Girls Pink Capris,47153.jpg,Asset/Apparel/Girls/47153.jpg,5077,6,2961,634
40144,Girls,Apparel,Topwear,Tops,Pink,Casual,Gini and Jony Girls Pretty Blossom Pink Top,40144.jpg,Asset/Apparel/Girls/40144.jpg,2222,3,7331,539
23624,Girls,Apparel,Topwear,Tops,White,Casual,Doodle Kids Girls White I love Shopping Top,23624.jpg,Asset/Apparel/Girls/23624.jpg,8590,2,9685,1264
34693,Girls,Apparel,Bottomwear,Shorts,Pink,Casual,Allen Solly Kids Girls Poplin Pink Shorts,34693.jpg,Asset/Apparel/Girls/34693.jpg,8791,5,1466,2500
4718,Girls,Apparel,Topwear,Tshirts,Yellow,Casual,Disney Kids Girl's Summer Fun Fair Yellow Teen Kidswear,4718.jpg,Asset/Apparel/Girls/4718.jpg,1171,8,6783,1018
36750,Girls,Apparel,Dress,Dresses,Navy Blue,Casual,Little Miss Girls Chatterbox Navy Blue Dress,36750.jpg,Asset/Apparel/Girls/36750.jpg,4610,10,9577,2920
34007,Girls,Apparel,Topwear,Tops,Pink,Casual,Gini and Jony Girls Pink Top,34007.jpg,Asset/Apparel/Girls/34007.jpg,1777,6,4950,2398
31129,Girls,Apparel,Dress,Dresses,Magenta,Casual,Giny and Jony Girls Printed White & Pink Dress,31129.jpg,Asset/Apparel/Girls/31129.jpg,9052,3,3772,2900
4720,Girls,Apparel,Topwear,Tshirts,Yellow,Casual,Disney Kids Girl's Fun In The Fair Yellow Teen Kidswear,4720.jpg,Asset/Apparel/Girls/4720.jpg,9439,10,1698,2144
17612,Girls,Apparel,Topwear,Tshirts,Grey,Casual,Doodle Cute Girls  Grey Tshirt,17612.jpg,Asset/Apparel/Girls/17612.jpg,4003,6,3306,1668
50723,Girls,Apparel,Dress,Dresses,Blue,Casual,Doodle Girls Blue Printed Dress,50723.jpg,Asset/Apparel/Girls/50723.jpg,5949,10,2285,1039
33271,Girls,Apparel,Bottomwear,Skirts,Red,Casual,Gini and Jony Girls Red Skirt,33271.jpg,Asset/Apparel/Girls/33271.jpg,5590,1,3668,2072
41007,Girls,Apparel,Bottomwear,Shorts,Navy Blue,Casual,Gini and Jony Girls Woven Navy Blue Shorts,41007.jpg,Asset/Apparel/Girls/41007.jpg,1218,1,6262,883
46813,Girls,Apparel,Bottomwear,Skirts,Pink,Casual,Gini and Jony Girls Pink Skirt,46813.jpg,Asset/Apparel/Girls/46813.jpg,2824,8,3095,1136
41000,Girls,Apparel,Bottomwear,Shorts,Blue,Casual,Gini and Jony Girls Woven Blue Shorts,41000.jpg,Asset/Apparel/Girls/41000.jpg,4786,6,3475,1406
8378,Girls,Apparel,Topwear,Tshirts,Green,Casual,Doodle Girl's Princess Lime Kidswear,8378.jpg,Asset/Apparel/Girls/8378.jpg,2145,1,4121,1984
39328,Girls,Apparel,Bottomwear,Shorts,Green,Casual,Gini and Jony Girls Green Shorts,39328.jpg,Asset/Apparel/Girls/39328.jpg,1231,6,3693,2684
50724,Girls,Apparel,Dress,Dresses,Blue,Casual,Doodle Girls Blue Washed Dress,50724.jpg,Asset/Apparel/Girls/50724.jpg,6350,7,5548,1269
46814,Girls,Apparel,Bottomwear,Skirts,Pink,Casual,Gini and Jony Girls Pink Skirt,46814.jpg,Asset/Apparel/Girls/46814.jpg,3229,3,6412,767
29171,Girls,Apparel,Bottomwear,Skirts,Blue,Casual,United Colors of Benetton Kids Girls Washed Blue Skirt,29171.jpg,Asset/Apparel/Girls/29171.jpg,4242,6,3380,2286
34065,Girls,Apparel,Dress,Dresses,Black,Casual,Gini and Jony Girls Black Dress,34065.jpg,Asset/Apparel/Girls/34065.jpg,6084,2,9011,679
31173,Girls,Apparel,Topwear,Tops,White,Casual,Gini and Jony Girls Printed White Top,31173.jpg,Asset/Apparel/Girls/31173.jpg,8337,7,3332,2655
34091,Girls,Apparel,Topwear,Tops,Grey,Casual,Doodle Girls Printed Grey Top,34091.jpg,Asset/Apparel/Girls/34091.jpg,7046,8,7193,539
8371,Girls,Apparel,Topwear,Tshirts,Yellow,Casual,Doodle Girl's Dont Worry Hippie Yellow Teen Kidswear,8371.jpg,Asset/Apparel/Girls/8371.jpg,6029,1,9971,2990
39321,Girls,Apparel,Bottomwear,Capris,Blue,Casual,Gini and Jony Girls Blue Capris,39321.jpg,Asset/Apparel/Girls/39321.jpg,1047,7,4357,2801
41009,Girls,Apparel,Bottomwear,Jeans,Navy Blue,Casual,Gini and Jony Girls Woven Navy Blue Jeans,41009.jpg,Asset/Apparel/Girls/41009.jpg,2533,7,3794,959
8385,Girls,Apparel,Topwear,Tshirts,Orange,Casual,Doodle Girl's Hippie Chic Orange Teen Kidswear,8385.jpg,Asset/Apparel/Girls/8385.jpg,5048,1,3939,2116
37613,Girls,Apparel,Topwear,Tshirts,Purple,Casual,Madagascar3 Girls Purple Printed T-Shirt,37613.jpg,Asset/Apparel/Girls/37613.jpg,2610,9,5729,2794
31180,Girls,Apparel,Bottomwear,Leggings,White,Casual,Gini and Jony Kids Leggings,31180.jpg,Asset/Apparel/Girls/31180.jpg,4107,4,3966,1522
31174,Girls,Apparel,Topwear,Tops,Red,Casual,Gini and Jony Girls Red Top,31174.jpg,Asset/Apparel/Girls/31174.jpg,9836,6,5160,1457
34062,Girls,Apparel,Dress,Dresses,Pink,Casual,Gini and Jony Girls Printed Pink Dress,34062.jpg,Asset/Apparel/Girls/34062.jpg,2461,8,6002,2200
40128,Girls,Apparel,Topwear,Tops,Orange,Casual,Gini and Jony Girls Roseatte Orange Top,40128.jpg,Asset/Apparel/Girls/40128.jpg,8944,4,5302,1855
8382,Girls,Apparel,Topwear,Tshirts,Blue,Casual,Doodle Girl's Raw Edges Light Blue Kidswear,8382.jpg,Asset/Apparel/Girls/8382.jpg,4275,8,1817,1590
39326,Girls,Apparel,Bottomwear,Leggings,Black,Casual,Gini and Jony Girls Black Leggings,39326.jpg,Asset/Apparel/Girls/39326.jpg,7848,3,8641,2185
31128,Girls,Apparel,Dress,Dresses,Blue,Casual,Gini and Jony Girls Printed Teal Dress,31128.jpg,Asset/Apparel/Girls/31128.jpg,8280,6,5824,2635
31117,Girls,Apparel,Topwear,Tops,White,Casual,Gini and Jony Girls White Top,31117.jpg,Asset/Apparel/Girls/31117.jpg,1619,9,1558,1072
4719,Girls,Apparel,Topwear,Tshirts,White,Casual,Disney Kids Girl's Fun In The Fair White Teen Kidswear,4719.jpg,Asset/Apparel/Girls/4719.jpg,8156,10,1630,1626
38290,Girls,Apparel,Topwear,Tops,Turquoise Blue,Casual,Kids Ville Girls Turquoise Blue Top,38290.jpg,Asset/Apparel/Girls/38290.jpg,6188,2,7305,2379
36751,Girls,Apparel,Topwear,Tops,White,Casual,Little Miss Girls Blah White Top,36751.jpg,Asset/Apparel/Girls/36751.jpg,3051,3,5739,2075
34006,Girls,Apparel,Topwear,Tops,Purple,Casual,Gini and Jony Girls Purple Top,34006.jpg,Asset/Apparel/Girls/34006.jpg,2517,10,4409,2175
40946,Girls,Apparel,Topwear,Tops,Navy Blue,Casual,Gini and Jony Girls Nautical Blues Navy Blue Top,40946.jpg,Asset/Apparel/Girls/40946.jpg,2814,8,5708,1941
31119,Girls,Apparel,Topwear,Tops,Purple,Casual,Gini and Jony Girls Purple Top,31119.jpg,Asset/Apparel/Girls/31119.jpg,7011,1,1138,1582
40145,Girls,Apparel,Bottomwear,Capris,Pink,Casual,Gini and Jony Girls Kinky Pink Capris,40145.jpg,Asset/Apparel/Girls/40145.jpg,2762,8,4981,2110
23625,Girls,Apparel,Topwear,Tops,Pink,Casual,Doodle Kids Girls Pink Retro Top,23625.jpg,Asset/Apparel/Girls/23625.jpg,8925,3,7694,1354
31126,Girls,Apparel,Dress,Dresses,White,Casual,Gini and Jony Girls White Dress,31126.jpg,Asset/Apparel/Girls/31126.jpg,4246,9,8773,2836
34008,Girls,Apparel,Topwear,Tops,Pink,Casual,Gini and Jony Girls Pink Top,34008.jpg,Asset/Apparel/Girls/34008.jpg,4713,7,6558,2054
40941,Girls,Apparel,Topwear,Tops,Pink,Casual,Gini and Jony Girls Pretty Pink Top,40941.jpg,Asset/Apparel/Girls/40941.jpg,4435,9,6951,2017
42418,Girls,Apparel,Topwear,Tops,White,Casual,Gini and Jony Girls Woven White Top,42418.jpg,Asset/Apparel/Girls/42418.jpg,1343,2,5656,949
31121,Girls,Apparel,Topwear,Tops,Black,Casual,Gini and Jony Girls Black Top,31121.jpg,Asset/Apparel/Girls/31121.jpg,4024,2,7248,1550
4717,Girls,Apparel,Topwear,Tshirts,Pink,Casual,Disney Kids Girl's Summer Fun Fair Pink Teen Kidswear,4717.jpg,Asset/Apparel/Girls/4717.jpg,4306,1,9763,1961
31175,Girls,Apparel,Topwear,Tops,Magenta,Casual,Gini and Jony Girls Purple Top,31175.jpg,Asset/Apparel/Girls/31175.jpg,2308,10,5441,2837
34063,Girls,Apparel,Dress,Dresses,Pink,Casual,Gini and Jony Girls Printed Pink Dress,34063.jpg,Asset/Apparel/Girls/34063.jpg,5668,6,4145,2935
39743,Girls,Apparel,Topwear,Tops,White,Casual,Gini Jony Girls Printed White Top,39743.jpg,Asset/Apparel/Girls/39743.jpg,2926,8,9408,619
39327,Girls,Apparel,Bottomwear,Leggings,Green,Casual,Gini and Jony Girls Green Leggings,39327.jpg,Asset/Apparel/Girls/39327.jpg,5344,7,8920,1430
8383,Girls,Apparel,Topwear,Tshirts,Blue,Casual,Doodle Girl's Raw Edges Light Blue Teen Kidswear,8383.jpg,Asset/Apparel/Girls/8383.jpg,8647,2,9236,2074
3901,Girls,Apparel,Bottomwear,Skirts,Blue,Casual,Disney Kids Girl's Pooh Denim Blue Skirt,3901.jpg,Asset/Apparel/Girls/3901.jpg,6108,2,7899,2437
34064,Girls,Apparel,Dress,Dresses,Blue,Casual,Gini and Jony Girls Printed Teal Dress,34064.jpg,Asset/Apparel/Girls/34064.jpg,1526,5,9941,1657
31172,Girls,Apparel,Topwear,Tops,Peach,Casual,Gini and Jony Girls Peach Top,31172.jpg,Asset/Apparel/Girls/31172.jpg,7765,7,8862,1532
27225,Girls,Apparel,Dress,Dresses,Pink,Casual,Doodle Girls Printed Pink Dress,27225.jpg,Asset/Apparel/Girls/27225.jpg,5034,9,9236,1900
8384,Girls,Apparel,Topwear,Tshirts,Orange,Casual,Doodle Girl's Hippie Chic Orange Kidswear,8384.jpg,Asset/Apparel/Girls/8384.jpg,7299,9,5981,956
41008,Girls,Apparel,Bottomwear,Jeans,Navy Blue,Casual,Gini and Jony Girls Woven Navy Blue Jeans,41008.jpg,Asset/Apparel/Girls/41008.jpg,5193,7,9286,2855
39744,Girls,Apparel,Topwear,Tops,White,Casual,Gini Jony Girls Printed White Top,39744.jpg,Asset/Apparel/Girls/39744.jpg,9401,9,7799,1284
43590,Girls,Apparel,Topwear,Tshirts,Blue,Casual,Gini and Jony Girls Polo Striped Blue T-shirt,43590.jpg,Asset/Apparel/Girls/43590.jpg,7687,7,8399,2250
40127,Girls,Apparel,Dress,Dresses,Black,Casual,Gini and Jony Girls Roseatte Black Dress,40127.jpg,Asset/Apparel/Girls/40127.jpg,2472,4,2008,1298
8379,Girls,Apparel,Topwear,Tshirts,Green,Casual,Doodle Girl's Princess Lime Green Top,8379.jpg,Asset/Apparel/Girls/8379.jpg,9195,2,5923,1867
39329,Girls,Apparel,Bottomwear,Shorts,Green,Casual,Gini and Jony Girls Green Shorts,39329.jpg,Asset/Apparel/Girls/39329.jpg,9012,6,9463,2288
41001,Girls,Apparel,Bottomwear,Shorts,Blue,Casual,Gini and Jony  Girls Woven Blue Shorts,41001.jpg,Asset/Apparel/Girls/41001.jpg,1097,5,1620,2526
46815,Girls,Apparel,Topwear,Tops,Yellow,Casual,Gini and Jony Girls Yellow Top,46815.jpg,Asset/Apparel/Girls/46815.jpg,4499,4,3163,2971
33270,Girls,Apparel,Bottomwear,Skirts,White,Casual,Gini & Jony Girls White Skirt,33270.jpg,Asset/Apparel/Girls/33270.jpg,1355,10,7902,2244
50722,Girls,Apparel,Dress,Dresses,Pink,Casual,Doodle Girls Pink Printed Dress,50722.jpg,Asset/Apparel/Girls/50722.jpg,7883,10,4852,1183
41006,Girls,Apparel,Bottomwear,Shorts,Navy Blue,Casual,Gini and Jony Girls Woven Navy Blue Shorts,41006.jpg,Asset/Apparel/Girls/41006.jpg,4400,8,4968,797
8465,Girls,Apparel,Topwear,Tshirts,Purple,Casual,Doodle Girls's Princess Purple Teen Top,8465.jpg,Asset/Apparel/Girls/8465.jpg,9397,5,5426,2891
34118,Girls,Apparel,Bottomwear,Shorts,Black,Casual,Doodle Girls Washed Black Shorts,34118.jpg,Asset/Apparel/Girls/34118.jpg,4857,7,8374,1551
37564,Girls,Apparel,Innerwear,Innerwear Vests,Pink,Casual,Madagascar3 Pink Girls Innerwear Vest,37564.jpg,Asset/Apparel/Girls/37564.jpg,5050,4,6931,2807
12849,Girls,Apparel,Dress,Dresses,White,Casual,Ant Kids Girls Butterfly Print White Dresses,12849.jpg,Asset/Apparel/Girls/12849.jpg,5835,6,7000,1587
39852,Girls,Apparel,Topwear,Tops,Blue,Casual,Gini and Jony Girls Printed Blue Top,39852.jpg,Asset/Apparel/Girls/39852.jpg,2492,2,3699,1441
37590,Girls,Apparel,Innerwear,Innerwear Vests,Pink,Casual,Madagascar Girls Pink Innerwear Vest,37590.jpg,Asset/Apparel/Girls/37590.jpg,6394,5,4208,1271
38342,Girls,Apparel,Topwear,Tops,White,Casual,Mr. Men Little Miss Girls White Top,38342.jpg,Asset/Apparel/Girls/38342.jpg,1599,3,7730,1836
36213,Girls,Apparel,Topwear,Tops,Green,Casual,Gini And Jony Girls Striped Green Top,36213.jpg,Asset/Apparel/Girls/36213.jpg,5482,2,7730,2300
37563,Girls,Apparel,Topwear,Rompers,White,Casual,Madagascar3 Infant Boys White Snapsuit Romper,37563.jpg,Asset/Apparel/Girls/37563.jpg,2488,5,1786,1898
24941,Girls,Apparel,Topwear,Tops,Pink,Casual,United Colors of Benetton Kids Girls Pink Top,24941.jpg,Asset/Apparel/Girls/24941.jpg,5577,2,5488,1982
2707,Girls,Apparel,Dress,Dresses,Pink,Casual,Disney Kids Girl's Dress Pink Pooh Kidswear,2707.jpg,Asset/Apparel/Girls/2707.jpg,4460,5,8441,1218
34116,Girls,Apparel,Bottomwear,Capris,Blue,Casual,Doodle Girls Washed Blue Capris,34116.jpg,Asset/Apparel/Girls/34116.jpg,8369,7,5834,2296
38945,Girls,Apparel,Topwear,Tops,White,Casual,Gini and Jony Girls Printed White Top,38945.jpg,Asset/Apparel/Girls/38945.jpg,2304,3,7824,1274
